FUNCTIONAL_CLASS_026,Urban,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,ADT_029,YEAR_ADT_030,APPR_WIDTH_MT_032,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,OPERATING_RATING_064,INVENTORY_RATING_066,APPR_ROAD_EVAL_072,TRAFFIC_DIRECTION_102,YEAR_RECONSTRUCTED_106,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,LOWEST_RATING,DECK_AREASQMTS,Latitude,Longitude,PPTIN,TMAXC,TMINC,pc250,scour_critical,waterway_eval,struc_eval,channel_cond,culvert_cond
6,0,1929,2,7960,2016,9.8,3,6.4,0,0,88.9,59.8,8,2,0,12,0,10347,2038,6,62.72,32.55273,-87.38144,127.0289993,24.1051006,11.2229004,0.133659,8,6,6,6,1
6,0,1969,2,3530,2013,13.4,3,6.6,0,18,88.9,82.8,8,2,0,16,0,4598,2033,7,118.8,31.590712,-87.213348,136.8999939,24.6434994,11.7649002,0.0718985,8,5,7,7,1
6,0,1950,3,6170,2013,12.2,3,7,0,0,88.9,69.4,6,2,1985,6,0,8310,2033,6,85.4,33.070588,-88.085316,133.1840057,23.7518005,10.9104996,0.246001,8,6,6,6,1
9,0,1961,2,250,1994,6.1,4,15.2,0,0,88.9,88.9,7,2,0,5,0,344,2030,6,92.72,31.173,-86.3536,131.2059937,25.6030998,12.1835003,0.0535048,8,7,6,6,1
8,0,2003,2,280,2003,8.5,4,13.2,12.9,13,84.6,50.8,8,2,0,5,0,420,2034,6,176.88,31.022972,-87.103046,155.2879944,25.5433998,11.8726997,0.0569009,8,8,6,5,1
7,0,1963,2,300,1993,8.5,4,7.6,0,0,68.4,41,7,2,0,25,0,385,2033,7,64.6,31.455801,-86.571105,134.7400055,25.1452999,11.9787998,0.0606181,8,5,7,4,1
19,1,1935,2,350,2017,7.6,4,8.5,7.6,8,32.7,23.6,8,2,0,1,0,500,2037,5,69.7,33.234793,-86.574092,129.6660004,23.7324009,10.4905996,0.156185,8,8,5,7,0
8,0,1963,2,718,1995,6.4,2,7.6,11.9,12,43.5,32.7,8,2,0,3,0,2532,2034,6,95,31.210996,-86.494272,131.8890076,25.5788002,12.0735998,0.055204,8,6,6,6,1
8,0,1962,2,4240,2013,9.1,3,6.4,0,0,74.3,44.5,7,2,0,15,0,5062,2033,7,58.24,32.221195,-86.032358,119.5,24.5289001,11.7742996,0.0735156,8,7,7,5,1
8,0,1956,2,300,1996,7.9,4,15.2,8.5,9,72.8,43.7,8,2,0,5,0,400,2036,8,138.32,33.181378,-87.483741,130.5879974,23.9699993,10.6448002,0.189922,8,7,8,7,1
9,0,1995,4,3710,2011,21.9,4,16.5,0,0,88.9,88.9,7,2,0,12,0,6080,2031,6,361.35,31.325641,-86.440824,134.9420013,25.3880997,12.2040997,0.05683,8,7,6,6,1
8,0,1967,2,1500,2014,8.5,3,13.1,10.1,10,44.3,26.5,6,2,0,9,0,2122,2034,7,132.31,34.41183,-86.594754,137.4190063,21.7178993,9.6919699,0.168264,8,6,6,6,1
